licence,nom,prenom,ville,club_nom,club_ville,points_elo,rang_national,rang_ligue,rang_comite,classement_officiel,niveau_categorie,nombre_matchs,victoires,defaites,nationalite
9421985,AUQUIERE,Nicolas,,AL VILLECRESNES TENNIS DE TABLE,,2011.0,641,197,27,Nationale 2,avance,36,29,7,française
747504,GARNIER,Anthony,,VILLEFRANCHE TTCAV,,2011.0,716,81,14,Nationale 2,avance,44,32,12,française
681755,PINGENAT,Laurent,,ILLKIRCH GRAFFENSTADEN AP,,2009.0,842,85,22,Nationale 2,avance,30,30,0,française
335038,BADET,Julien,,CSMF PARIS TT,,2006.0,867,248,23,Nationale 2,avance,0,0,0,française
7621485,COSTARD,Emile,,JUMP,,2006.0,778,225,17,Nationale 2,avance,30,15,15,française
7621913,BOUMEDOUHA,Karim,,BLAINVILLE CREVON,,2005.0,870,104,49,Nationale 2,avance,21,21,0,française
83866,GEMINIANI,Anthony,,A.S. MONACO,,2005.0,141,26,10,Nationale 2,avance,31,21,10,française
3532217,LEVALOIS,Martin,,CESSON O.C.,,2005.0,930,62,28,Nationale 2,avance,26,17,9,française
645675,BETELU,Remi,,4S TOURS T.T.,,2004.0,35,5,1,Nationale 2,avance,25,15,10,française
9240953,PAULY PROST,Amelie,,TennisTable Municipal Chatillon,,2003.0,60,27,11,Nationale 2,avance,26,23,3,française
9416730,CRESSON,Margot,,ELANCOURT CTT,,2003.0,74,36,1,Nationale 2,avance,3,3,0,française
4432844,BOHEAS,Mateo,,RP FOUESNANT,,2003.0,101,14,1,Nationale 2,avance,38,28,10,française
4926667,CHEN,Tianyuan,,ROMAGNE (LA) - S.S.,,2001.0,10,3,3,Nationale 2,avance,20,10,10,française
7634929,JEZEQUEL,Tanguy,,US C BOIS GUILLAUME,,2001.0,790,94,45,Nationale 2,avance,51,43,8,française
6918561,CRISTINI,Anthony,,VAL D'OZON TENNIS DE TABLE,,2001.0,850,101,18,Nationale 2,avance,35,26,9,française
6928823,NUNEZ DIRMENT,Vanessa,,STRASBOURG RC,,2000.0,169,30,8,Nationale 2,avance,35,26,9,française
