club_nom,pays,url,latitude,longitude
C. PEÑARANDA DE BRACAMONTE,Espagne,https://www.google.com/maps/search/?api=1&query=%22C.+PE%C3%91ARANDA+DE+BRACAMONTE%22+tenis+de+mesa+Espa%C3%B1a,40.896917,-5.199615
C.D. T.M. RIVAS PROMESAS,Espagne,https://www.google.com/maps/search/?api=1&query=%22C.D.+T.M.+RIVAS+PROMESAS%22+tenis+de+mesa+Espa%C3%B1a,40.379585,-3.706437
C.T.T.  VILABLAREIX,Espagne,https://www.google.com/maps/search/?api=1&query=%22C.T.T.++VILABLAREIX%22+tenis+de+mesa+Espa%C3%B1a,40.379585,-3.706437
C.T.T. ALZIRA,Espagne,https://www.google.com/maps/search/?api=1&query=%22C.T.T.+ALZIRA%22+tenis+de+mesa+Espa%C3%B1a,40.379585,-3.706437
CASTROSPIN,Espagne,https://www.google.com/maps/search/?api=1&query=%22CASTROSPIN%22+tenis+de+mesa+Espa%C3%B1a,40.379585,-3.706437
CD COYANZA,Espagne,https://www.google.com/maps/search/?api=1&query=%22CD+COYANZA%22+tenis+de+mesa+Espa%C3%B1a,42.329023,-5.475773
CD FIRGONG,Espagne,https://www.google.com/maps/search/?api=1&query=%22CD+FIRGONG%22+tenis+de+mesa+Espa%C3%B1a,28.110715,-15.559676
CD INDIANA GAMES,Espagne,https://www.google.com/maps/search/?api=1&query=%22CD+INDIANA+GAMES%22+tenis+de+mesa+Espa%C3%B1a,40.437163,-3.703144
CD NERVION TM CITY,Espagne,https://www.google.com/maps/search/?api=1&query=%22CD+NERVION+TM+CITY%22+tenis+de+mesa+Espa%C3%B1a,37.388708,-5.973413
CD PEÑA DE LA AMISTAD,Espagne,https://www.google.com/maps/search/?api=1&query=%22CD+PE%C3%91A+DE+LA+AMISTAD%22+tenis+de+mesa+Espa%C3%B1a,28.497070,-13.859981
CD SEGHOS,Espagne,https://www.google.com/maps/search/?api=1&query=%22CD+SEGHOS%22+tenis+de+mesa+Espa%C3%B1a,40.949620,-4.097418
CD TM NAVALCAN,Espagne,https://www.google.com/maps/search/?api=1&query=%22CD+TM+NAVALCAN%22+tenis+de+mesa+Espa%C3%B1a,40.069097,-5.093174
CDB TM CIUDAD REAL,Espagne,https://www.google.com/maps/search/?api=1&query=%22CDB+TM+CIUDAD+REAL%22+tenis+de+mesa+Espa%C3%B1a,38.959735,-3.882874
CDE ALCORCON TM,Espagne,https://www.google.com/maps/search/?api=1&query=%22CDE+ALCORCON+TM%22+tenis+de+mesa+Espa%C3%B1a,40.349300,-3.828429
CDE MADRID CAPITAL DEL TM,Espagne,https://www.google.com/maps/search/?api=1&query=%22CDE+MADRID+CAPITAL+DEL+TM%22+tenis+de+mesa+Espa%C3%B1a,40.462203,-3.616064
CDE TENIS MESA PARLA,Espagne,https://www.google.com/maps/search/?api=1&query=%22CDE+TENIS+MESA+PARLA%22+tenis+de+mesa+Espa%C3%B1a,40.379585,-3.706437
CDETM PROGRESO,Espagne,https://www.google.com/maps/search/?api=1&query=%22CDETM+PROGRESO%22+tenis+de+mesa+Espa%C3%B1a,36.683286,-6.137287
CDTM CARTAGENA,Espagne,https://www.google.com/maps/search/?api=1&query=%22CDTM+CARTAGENA%22+tenis+de+mesa+Espa%C3%B1a,37.624186,-0.991750
CDTM FEMINAS CARTAGENA,Espagne,https://www.google.com/maps/search/?api=1&query=%22CDTM+FEMINAS+CARTAGENA%22+tenis+de+mesa+Espa%C3%B1a,37.615502,-0.987511
CDTM HUJASE JAEN,Espagne,https://www.google.com/maps/search/?api=1&query=%22CDTM+HUJASE+JAEN%22+tenis+de+mesa+Espa%C3%B1a,40.435481,-3.812378
CETT ESPARREGUERA,Espagne,https://www.google.com/maps/search/?api=1&query=%22CETT+ESPARREGUERA%22+tenis+de+mesa+Espa%C3%B1a,41.542116,1.869240
CIDADE NARON TM,Espagne,https://www.google.com/maps/search/?api=1&query=%22CIDADE+NARON+TM%22+tenis+de+mesa+Espa%C3%B1a,43.501098,-8.192309
CLUB DEL MAR,Espagne,https://www.google.com/maps/search/?api=1&query=%22CLUB+DEL+MAR%22+tenis+de+mesa+Espa%C3%B1a,38.365967,-0.418985
CLUB TOTANA TM,Espagne,https://www.google.com/maps/search/?api=1&query=%22CLUB+TOTANA+TM%22+tenis+de+mesa+Espa%C3%B1a,37.757875,-1.512008
COLLADO,Espagne,https://www.google.com/maps/search/?api=1&query=%22COLLADO%22+tenis+de+mesa+Espa%C3%B1a,40.057329,-5.720944
CONXO TM,Espagne,https://www.google.com/maps/search/?api=1&query=%22CONXO+TM%22+tenis+de+mesa+Espa%C3%B1a,42.853351,-8.565770
CORRIOL,Espagne,https://www.google.com/maps/search/?api=1&query=%22CORRIOL%22+tenis+de+mesa+Espa%C3%B1a,42.030773,2.469223
CORUÑA,Espagne,https://www.google.com/maps/search/?api=1&query=%22CORU%C3%91A%22+tenis+de+mesa+Espa%C3%B1a,43.153994,-8.580508
CTM ALCALA 2000,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTM+ALCALA+2000%22+tenis+de+mesa+Espa%C3%B1a,40.485858,-3.347068
CTM ALCAZAR,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTM+ALCAZAR%22+tenis+de+mesa+Espa%C3%B1a,40.051587,-2.810039
CTM AYAMONTE,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTM+AYAMONTE%22+tenis+de+mesa+Espa%C3%B1a,37.215797,-7.406017
CTM BOADILLA,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTM+BOADILLA%22+tenis+de+mesa+Espa%C3%B1a,40.796757,-6.220534
CTM CORVERASTUR,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTM+CORVERASTUR%22+tenis+de+mesa+Espa%C3%B1a,37.895835,-1.059931
CTM COSTA AZAHAR,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTM+COSTA+AZAHAR%22+tenis+de+mesa+Espa%C3%B1a,36.412381,-5.192738
CTM CULLAR VEGA,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTM+CULLAR+VEGA%22+tenis+de+mesa+Espa%C3%B1a,37.153542,-3.670319
CTM EL RODEO,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTM+EL+RODEO%22+tenis+de+mesa+Espa%C3%B1a,40.936186,-5.585143
CTM GAILAK,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTM+GAILAK%22+tenis+de+mesa+Espa%C3%B1a,43.266111,-1.974742
CTM MOS,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTM+MOS%22+tenis+de+mesa+Espa%C3%B1a,42.166581,-8.621853
CTM MURCIA,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTM+MURCIA%22+tenis+de+mesa+Espa%C3%B1a,37.624186,-0.991750
CTM TECNIK ´87,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTM+TECNIK+%C2%B487%22+tenis+de+mesa+Espa%C3%B1a,43.266331,-2.931087
