id,type,latitude,longitude,name,type_lieu,nombre_tables,source_count,fiabilite_count,country,city,indoor,access,website,lien_google_maps,lien_openstreetmap
13517146312,node,47.2868122,9.5436812,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.2868122,9.5436812",https://www.openstreetmap.org/node/13517146312
13528260675,node,47.3336718,9.4099096,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.3336718,9.4099096",https://www.openstreetmap.org/node/13528260675
13530014251,node,47.4350183,9.4144943,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.4350183,9.4144943",https://www.openstreetmap.org/node/13530014251
13532054881,node,47.4321911,9.3922682,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.4321911,9.3922682",https://www.openstreetmap.org/node/13532054881
13556361613,node,47.4139257,8.5597537,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.4139257,8.5597537",https://www.openstreetmap.org/node/13556361613
13592541564,node,47.370811,8.6898445,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.370811,8.6898445",https://www.openstreetmap.org/node/13592541564
13597142336,node,47.2358965,8.8368168,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.2358965,8.8368168",https://www.openstreetmap.org/node/13597142336
13605973770,node,47.0489463,8.3039087,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.0489463,8.3039087",https://www.openstreetmap.org/node/13605973770
13614396929,node,47.3887216,8.1807841,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.3887216,8.1807841",https://www.openstreetmap.org/node/13614396929
13627878367,node,47.3332412,8.6234131,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.3332412,8.6234131",https://www.openstreetmap.org/node/13627878367
13630117234,node,47.2307359,8.8454698,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.2307359,8.8454698",https://www.openstreetmap.org/node/13630117234
13633836560,node,47.6631167,7.984501,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.6631167,7.984501",https://www.openstreetmap.org/node/13633836560
13634832609,node,47.1555874,9.4824912,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.1555874,9.4824912",https://www.openstreetmap.org/node/13634832609
13637597122,node,47.665149650000004,9.17032135,,table_publique_parc,2,cluster_geographique,probable,,Konstanz,,,,"https://www.google.com/maps/search/?api=1&query=47.665149650000004,9.17032135",https://www.openstreetmap.org/node/13637597122
13645954812,node,47.156421,9.479526,,table_publique_parc,1,estime_1,incertain,,,,,,"https://www.google.com/maps/search/?api=1&query=47.156421,9.479526",https://www.openstreetmap.org/node/13645954812
