club_nom,pays,url
CD FIRGONG,Espagne,https://www.google.com/maps/search/?api=1&query=%22CD+FIRGONG%22+tenis+de+mesa+Espa%C3%B1a
CD INDIANA GAMES,Espagne,https://www.google.com/maps/search/?api=1&query=%22CD+INDIANA+GAMES%22+tenis+de+mesa+Espa%C3%B1a
CD NERVION TM CITY,Espagne,https://www.google.com/maps/search/?api=1&query=%22CD+NERVION+TM+CITY%22+tenis+de+mesa+Espa%C3%B1a
CD PEÑA DE LA AMISTAD,Espagne,https://www.google.com/maps/search/?api=1&query=%22CD+PE%C3%91A+DE+LA+AMISTAD%22+tenis+de+mesa+Espa%C3%B1a
CD SEGHOS,Espagne,https://www.google.com/maps/search/?api=1&query=%22CD+SEGHOS%22+tenis+de+mesa+Espa%C3%B1a
CD TM NAVALCAN,Espagne,https://www.google.com/maps/search/?api=1&query=%22CD+TM+NAVALCAN%22+tenis+de+mesa+Espa%C3%B1a
CDB TM CIUDAD REAL,Espagne,https://www.google.com/maps/search/?api=1&query=%22CDB+TM+CIUDAD+REAL%22+tenis+de+mesa+Espa%C3%B1a
CDE ALCORCON TM,Espagne,https://www.google.com/maps/search/?api=1&query=%22CDE+ALCORCON+TM%22+tenis+de+mesa+Espa%C3%B1a
CDE MADRID CAPITAL DEL TM,Espagne,https://www.google.com/maps/search/?api=1&query=%22CDE+MADRID+CAPITAL+DEL+TM%22+tenis+de+mesa+Espa%C3%B1a
CDE TENIS MESA PARLA,Espagne,https://www.google.com/maps/search/?api=1&query=%22CDE+TENIS+MESA+PARLA%22+tenis+de+mesa+Espa%C3%B1a
CDETM PROGRESO,Espagne,https://www.google.com/maps/search/?api=1&query=%22CDETM+PROGRESO%22+tenis+de+mesa+Espa%C3%B1a
CDTM CARTAGENA,Espagne,https://www.google.com/maps/search/?api=1&query=%22CDTM+CARTAGENA%22+tenis+de+mesa+Espa%C3%B1a
CDTM FEMINAS CARTAGENA,Espagne,https://www.google.com/maps/search/?api=1&query=%22CDTM+FEMINAS+CARTAGENA%22+tenis+de+mesa+Espa%C3%B1a
CDTM HUJASE JAEN,Espagne,https://www.google.com/maps/search/?api=1&query=%22CDTM+HUJASE+JAEN%22+tenis+de+mesa+Espa%C3%B1a
CETT ESPARREGUERA,Espagne,https://www.google.com/maps/search/?api=1&query=%22CETT+ESPARREGUERA%22+tenis+de+mesa+Espa%C3%B1a
CIDADE NARON TM,Espagne,https://www.google.com/maps/search/?api=1&query=%22CIDADE+NARON+TM%22+tenis+de+mesa+Espa%C3%B1a
CLUB DEL MAR,Espagne,https://www.google.com/maps/search/?api=1&query=%22CLUB+DEL+MAR%22+tenis+de+mesa+Espa%C3%B1a
CLUB TOTANA TM,Espagne,https://www.google.com/maps/search/?api=1&query=%22CLUB+TOTANA+TM%22+tenis+de+mesa+Espa%C3%B1a
COLLADO,Espagne,https://www.google.com/maps/search/?api=1&query=%22COLLADO%22+tenis+de+mesa+Espa%C3%B1a
CONXO TM,Espagne,https://www.google.com/maps/search/?api=1&query=%22CONXO+TM%22+tenis+de+mesa+Espa%C3%B1a
CORRIOL,Espagne,https://www.google.com/maps/search/?api=1&query=%22CORRIOL%22+tenis+de+mesa+Espa%C3%B1a
CORUÑA,Espagne,https://www.google.com/maps/search/?api=1&query=%22CORU%C3%91A%22+tenis+de+mesa+Espa%C3%B1a
CTM ALCALA 2000,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTM+ALCALA+2000%22+tenis+de+mesa+Espa%C3%B1a
CTM ALCAZAR,Espagne,https://www.google.com/maps/search/?api=1&query=%22CTM+ALCAZAR%22+tenis+de+mesa+Espa%C3%B1a
