club_nom,pays,url,latitude,longitude
A.S.J.NOGENT LE ROTROU,France,https://www.google.com/maps/search/?api=1&query=%22A.S.J.NOGENT+LE+ROTROU%22+tennis+de+table+France,48.315760,0.813213
A.S.L. OUVILLE LA RIVIER,France,https://www.google.com/maps/search/?api=1&query=%22A.S.L.+OUVILLE+LA+RIVIER%22+tennis+de+table+France,46.796764,1.723791
A.S.P.T.T. VANNES,France,https://www.google.com/maps/search/?api=1&query=%22A.S.P.T.T.+VANNES%22+tennis+de+table+France,47.657605,-2.807014
A.S.T.T. de CASTELVALERIE,France,https://www.google.com/maps/search/?api=1&query=%22A.S.T.T.+de+CASTELVALERIE%22+tennis+de+table+France,47.544754,0.322475
A.S.T.T. ESVRES,France,https://www.google.com/maps/search/?api=1&query=%22A.S.T.T.+ESVRES%22+tennis+de+table+France,47.294488,0.791592
A.S.T.T. L'ISLOIS,France,https://www.google.com/maps/search/?api=1&query=%22A.S.T.T.+L%27ISLOIS%22+tennis+de+table+France,43.624501,1.103717
A.S.T.T. M.A. MONTBEUGNY,France,https://www.google.com/maps/search/?api=1&query=%22A.S.T.T.+M.A.+MONTBEUGNY%22+tennis+de+table+France,46.536137,3.381109
A.S.T.T.ORGERES,France,https://www.google.com/maps/search/?api=1&query=%22A.S.T.T.ORGERES%22+tennis+de+table+France,46.808870,1.700300
A.T.T. AZAY-SUR-CHER,France,https://www.google.com/maps/search/?api=1&query=%22A.T.T.+AZAY-SUR-CHER%22+tennis+de+table+France,47.350420,0.841015
A.T.T. CHABRIS,France,https://www.google.com/maps/search/?api=1&query=%22A.T.T.+CHABRIS%22+tennis+de+table+France,47.257620,1.650765
A.T.T. DROME PROVENCALE,France,https://www.google.com/maps/search/?api=1&query=%22A.T.T.+DROME+PROVENCALE%22+tennis+de+table+France,44.369350,4.711547
A.T.T. LANGEAIS-CINQ-MARS,France,https://www.google.com/maps/search/?api=1&query=%22A.T.T.+LANGEAIS-CINQ-MARS%22+tennis+de+table+France,47.331847,0.408719
A.T.T. LUANT,France,https://www.google.com/maps/search/?api=1&query=%22A.T.T.+LUANT%22+tennis+de+table+France,46.735526,1.556541
A.T.T.ST ANTOINE DU ROCHER,France,https://www.google.com/maps/search/?api=1&query=%22A.T.T.ST+ANTOINE+DU+ROCHER%22+tennis+de+table+France,47.502190,0.628203
AAS FRESNES TENNIS DE TABLE,France,https://www.google.com/maps/search/?api=1&query=%22AAS+FRESNES+TENNIS+DE+TABLE%22+tennis+de+table+France,47.178092,2.160656
ABADIÑO,Espagne,https://www.google.com/maps/search/?api=1&query=%22ABADI%C3%91O%22+tenis+de+mesa+Espa%C3%B1a,43.152360,-2.607952
ABBEVILLE ACTT,France,https://www.google.com/maps/search/?api=1&query=%22ABBEVILLE+ACTT%22+tennis+de+table+France,50.100849,1.833667
ABLIS ATT,France,https://www.google.com/maps/search/?api=1&query=%22ABLIS+ATT%22+tennis+de+table+France,48.517186,1.829488
AC.MUS.E REC. 8 DE JAN.,Portugal,https://www.google.com/maps/search/?api=1&query=%22AC.MUS.E+REC.+8+DE+JAN.%22+t%C3%A9nis+de+mesa+Portugal,38.205247,-8.770876
ACD São João,Portugal,https://www.google.com/maps/search/?api=1&query=%22ACD+S%C3%A3o+Jo%C3%A3o%22+t%C3%A9nis+de+mesa+Portugal,39.549742,-8.004209
ACDR D.CARLOS I-TOP SPIN,Portugal,https://www.google.com/maps/search/?api=1&query=%22ACDR+D.CARLOS+I-TOP+SPIN%22+t%C3%A9nis+de+mesa+Portugal,38.707658,-9.196788
ACHERES CLOC,France,https://www.google.com/maps/search/?api=1&query=%22ACHERES+CLOC%22+tennis+de+table+France,48.970302,2.072329
ACLRE RECHESY,France,https://www.google.com/maps/search/?api=1&query=%22ACLRE+RECHESY%22+tennis+de+table+France,47.507024,7.108491
ACM Madeira,Portugal,https://www.google.com/maps/search/?api=1&query=%22ACM+Madeira%22+t%C3%A9nis+de+mesa+Portugal,40.214767,-8.415255
ACR .SAAVEDRA GUEDES,Portugal,https://www.google.com/maps/search/?api=1&query=%22ACR+.SAAVEDRA+GUEDES%22+t%C3%A9nis+de+mesa+Portugal,40.795302,-8.619940
ACR VALDAGUA,Portugal,https://www.google.com/maps/search/?api=1&query=%22ACR+VALDAGUA%22+t%C3%A9nis+de+mesa+Portugal,40.214767,-8.415255
ACsIOM,France,https://www.google.com/maps/search/?api=1&query=%22ACsIOM%22+tennis+de+table+France,47.178092,2.160656
